"","Station","Time","Date","Species","DateTimeOriginal","roundedDateTime","checks"
"21","StationA",4H 42M 0S,2024-05-10,"Bengal Fox",2024-05-10 04:42:00,2024-05-10 04:42:00,"Round 05"
"22","StationA",4H 45M 46S,2024-05-10,"Bengal Fox",2024-05-10 04:45:46,2024-05-10 04:46:00,"Round 05"
"23","StationA",4H 52M 34S,2024-05-10,"Bengal Fox",2024-05-10 04:52:34,2024-05-10 04:53:00,"Round 05"
"24","StationA",5H 6M 0S,2024-05-10,"Bengal Fox",2024-05-10 05:06:00,2024-05-10 05:06:00,"Round 05"
"25","StationA",5H 6M 20S,2024-05-10,"Bengal Fox",2024-05-10 05:06:20,2024-05-10 05:06:00,"Round 05"
"26","StationA",16H 22M 22S,2024-05-10,"Bengal Fox",2024-05-10 16:22:22,2024-05-10 16:22:00,"Round 05"
"27","StationA",23H 15M 2S,2024-05-10,"Bengal Fox",2024-05-10 23:15:02,2024-05-10 23:15:00,"Round 05"
"28","StationA",3H 19M 46S,2024-05-11,"Bengal Fox",2024-05-11 03:19:46,2024-05-11 03:20:00,"Round 05"
"29","StationA",3H 40M 59S,2024-05-11,"Bengal Fox",2024-05-11 03:40:59,2024-05-11 03:41:00,"Round 05"
"30","StationA",3H 50M 43S,2024-05-11,"Bengal Fox",2024-05-11 03:50:43,2024-05-11 03:51:00,"Round 05"
"31","StationA",4H 58M 52S,2024-05-11,"Bengal Fox",2024-05-11 04:58:52,2024-05-11 04:59:00,"Round 05"
"32","StationA",7H 16M 19S,2024-05-11,"Bengal Fox",2024-05-11 07:16:19,2024-05-11 07:16:00,"Round 05"
"33","StationA",10H 12M 44S,2024-05-11,"Bengal Fox",2024-05-11 10:12:44,2024-05-11 10:13:00,"Round 05"
"34","StationA",10H 12M 44S,2024-05-11,"Bengal Monitor",2024-05-11 10:12:44,2024-05-11 10:13:00,"Round 05"
"35","StationA",10H 12M 44S,2024-05-11,"Bengal Fox",2024-05-11 10:12:44,2024-05-11 10:13:00,"Round 05"
"36","StationA",10H 12M 44S,2024-05-11,"Bengal Monitor",2024-05-11 10:12:44,2024-05-11 10:13:00,"Round 05"
"37","StationA",14H 49M 38S,2024-05-11,"Bengal Fox",2024-05-11 14:49:38,2024-05-11 14:50:00,"Round 05"
"38","StationA",14H 49M 38S,2024-05-11,"Bengal Monitor",2024-05-11 14:49:38,2024-05-11 14:50:00,"Round 05"
"39","StationA",14H 49M 38S,2024-05-11,"Bengal Fox",2024-05-11 14:49:38,2024-05-11 14:50:00,"Round 05"
"40","StationA",14H 49M 38S,2024-05-11,"Bengal Monitor",2024-05-11 14:49:38,2024-05-11 14:50:00,"Round 05"
"41","StationA",21H 47M 29S,2024-05-11,"Bengal Fox",2024-05-11 21:47:29,2024-05-11 21:47:00,"Round 05"
"42","StationA",3H 4M 19S,2024-05-12,"Bengal Fox",2024-05-12 03:04:19,2024-05-12 03:04:00,"Round 05"
"43","StationA",3H 47M 27S,2024-05-12,"Bengal Fox",2024-05-12 03:47:27,2024-05-12 03:47:00,"Round 05"
"44","StationA",3H 49M 59S,2024-05-12,"Bengal Fox",2024-05-12 03:49:59,2024-05-12 03:50:00,"Round 05"
"45","StationA",4H 53M 20S,2024-05-12,"Bengal Fox",2024-05-12 04:53:20,2024-05-12 04:53:00,"Round 05"
"46","StationA",4H 53M 36S,2024-05-12,"Bengal Fox",2024-05-12 04:53:36,2024-05-12 04:54:00,"Round 05"
"47","StationA",4H 53M 48S,2024-05-12,"Bengal Fox",2024-05-12 04:53:48,2024-05-12 04:54:00,"Round 05"
"48","StationA",4H 54M 1S,2024-05-12,"Bengal Fox",2024-05-12 04:54:01,2024-05-12 04:54:00,"Round 05"
"49","StationA",4H 54M 13S,2024-05-12,"Bengal Fox",2024-05-12 04:54:13,2024-05-12 04:54:00,"Round 05"
"50","StationA",5H 8M 22S,2024-05-12,"Bengal Fox",2024-05-12 05:08:22,2024-05-12 05:08:00,"Round 05"
"51","StationA",5H 8M 40S,2024-05-12,"Bengal Fox",2024-05-12 05:08:40,2024-05-12 05:09:00,"Round 05"
"52","StationA",5H 9M 0S,2024-05-12,"Bengal Fox",2024-05-12 05:09:00,2024-05-12 05:09:00,"Round 05"
"53","StationA",8H 51M 22S,2024-05-12,"Bengal Fox",2024-05-12 08:51:22,2024-05-12 08:51:00,"Round 05"
"54","StationA",14H 26M 36S,2024-05-12,"Bengal Fox",2024-05-12 14:26:36,2024-05-12 14:27:00,"Round 05"
"55","StationA",14H 26M 47S,2024-05-12,"Bengal Fox",2024-05-12 14:26:47,2024-05-12 14:27:00,"Round 05"
"56","StationA",16H 7M 48S,2024-05-12,"Bengal Fox",2024-05-12 16:07:48,2024-05-12 16:08:00,"Round 05"
"57","StationA",16H 8M 32S,2024-05-12,"Bengal Fox",2024-05-12 16:08:32,2024-05-12 16:09:00,"Round 05"
"58","StationA",16H 19M 35S,2024-05-12,"Bengal Fox",2024-05-12 16:19:35,2024-05-12 16:20:00,"Round 05"
"59","StationA",21H 10M 23S,2024-05-12,"Bengal Fox",2024-05-12 21:10:23,2024-05-12 21:10:00,"Round 05"
"60","StationA",21H 10M 51S,2024-05-12,"Bengal Fox",2024-05-12 21:10:51,2024-05-12 21:11:00,"Round 05"
"61","StationA",21H 12M 44S,2024-05-12,"Bengal Fox",2024-05-12 21:12:44,2024-05-12 21:13:00,"Round 05"
"62","StationA",21H 20M 59S,2024-05-12,"Bengal Fox",2024-05-12 21:20:59,2024-05-12 21:21:00,"Round 05"
"63","StationA",22H 9M 31S,2024-05-12,"Bengal Fox",2024-05-12 22:09:31,2024-05-12 22:10:00,"Round 05"
"64","StationA",22H 9M 54S,2024-05-12,"Bengal Fox",2024-05-12 22:09:54,2024-05-12 22:10:00,"Round 05"
"65","StationA",22H 10M 8S,2024-05-12,"Bengal Fox",2024-05-12 22:10:08,2024-05-12 22:10:00,"Round 05"
"66","StationA",22H 10M 50S,2024-05-12,"Bengal Fox",2024-05-12 22:10:50,2024-05-12 22:11:00,"Round 05"
"67","StationA",22H 39M 26S,2024-05-12,"Bengal Fox",2024-05-12 22:39:26,2024-05-12 22:39:00,"Round 05"
"68","StationA",22H 39M 38S,2024-05-12,"Bengal Fox",2024-05-12 22:39:38,2024-05-12 22:40:00,"Round 05"
"69","StationA",22H 46M 13S,2024-05-12,"Bengal Fox",2024-05-12 22:46:13,2024-05-12 22:46:00,"Round 05"
"70","StationA",1H 3M 36S,2024-05-13,"Bengal Fox",2024-05-13 01:03:36,2024-05-13 01:04:00,"Round 05"
"71","StationA",1H 3M 47S,2024-05-13,"Bengal Fox",2024-05-13 01:03:47,2024-05-13 01:04:00,"Round 05"
"72","StationA",1H 4M 16S,2024-05-13,"Bengal Fox",2024-05-13 01:04:16,2024-05-13 01:04:00,"Round 05"
"73","StationA",1H 4M 32S,2024-05-13,"Bengal Fox",2024-05-13 01:04:32,2024-05-13 01:05:00,"Round 05"
"74","StationA",1H 4M 45S,2024-05-13,"Bengal Fox",2024-05-13 01:04:45,2024-05-13 01:05:00,"Round 05"
"75","StationA",1H 5M 15S,2024-05-13,"Bengal Fox",2024-05-13 01:05:15,2024-05-13 01:05:00,"Round 05"
"76","StationA",1H 5M 29S,2024-05-13,"Bengal Fox",2024-05-13 01:05:29,2024-05-13 01:05:00,"Round 05"
"77","StationA",2H 34M 39S,2024-05-13,"Bengal Fox",2024-05-13 02:34:39,2024-05-13 02:35:00,"Round 05"
"78","StationA",3H 44M 47S,2024-05-13,"Bengal Fox",2024-05-13 03:44:47,2024-05-13 03:45:00,"Round 05"
"79","StationA",3H 45M 0S,2024-05-13,"Bengal Fox",2024-05-13 03:45:00,2024-05-13 03:45:00,"Round 05"
"80","StationA",3H 51M 39S,2024-05-13,"Bengal Fox",2024-05-13 03:51:39,2024-05-13 03:52:00,"Round 05"
"81","StationA",4H 2M 32S,2024-05-14,"Bengal Fox",2024-05-14 04:02:32,2024-05-14 04:03:00,"Round 05"
"82","StationA",4H 5M 5S,2024-05-14,"Bengal Fox",2024-05-14 04:05:05,2024-05-14 04:05:00,"Round 05"
"83","StationA",4H 5M 19S,2024-05-14,"Bengal Fox",2024-05-14 04:05:19,2024-05-14 04:05:00,"Round 05"
"84","StationA",5H 5M 55S,2024-05-14,"Bengal Fox",2024-05-14 05:05:55,2024-05-14 05:06:00,"Round 05"
"85","StationA",19H 45M 31S,2024-05-14,"Bengal Fox",2024-05-14 19:45:31,2024-05-14 19:46:00,"Round 05"
"86","StationA",5H 6M 22S,2024-05-15,"Bengal Fox",2024-05-15 05:06:22,2024-05-15 05:06:00,"Round 05"
"87","StationA",5H 31M 15S,2024-05-15,"Bengal Fox",2024-05-15 05:31:15,2024-05-15 05:31:00,"Round 05"
"88","StationA",6H 0M 6S,2024-05-15,"Bengal Fox",2024-05-15 06:00:06,2024-05-15 06:00:00,"Round 05"
"89","StationA",19H 12M 25S,2024-05-15,"Bengal Fox",2024-05-15 19:12:25,2024-05-15 19:12:00,"Round 06"
"90","StationA",18H 47M 53S,2024-05-16,"Bengal Fox",2024-05-16 18:47:53,2024-05-16 18:48:00,"Round 06"
"91","StationA",18H 48M 7S,2024-05-16,"Bengal Fox",2024-05-16 18:48:07,2024-05-16 18:48:00,"Round 06"
"92","StationA",18H 56M 24S,2024-05-16,"Bengal Fox",2024-05-16 18:56:24,2024-05-16 18:56:00,"Round 06"
"93","StationA",18H 57M 47S,2024-05-16,"Bengal Fox",2024-05-16 18:57:47,2024-05-16 18:58:00,"Round 06"
"94","StationA",20H 20M 57S,2024-05-16,"Bengal Fox",2024-05-16 20:20:57,2024-05-16 20:21:00,"Round 06"
"95","StationA",22H 2M 14S,2024-05-16,"Bengal Fox",2024-05-16 22:02:14,2024-05-16 22:02:00,"Round 06"
"96","StationA",23H 4M 0S,2024-05-16,"Bengal Fox",2024-05-16 23:04:00,2024-05-16 23:04:00,"Round 06"
"97","StationA",23H 24M 46S,2024-05-16,"Bengal Fox",2024-05-16 23:24:46,2024-05-16 23:25:00,"Round 06"
"98","StationA",4H 23M 41S,2024-05-17,"Bengal Fox",2024-05-17 04:23:41,2024-05-17 04:24:00,"Round 06"
"99","StationA",5H 7M 42S,2024-05-17,"Bengal Fox",2024-05-17 05:07:42,2024-05-17 05:08:00,"Round 06"
"100","StationA",5H 10M 14S,2024-05-17,"Bengal Fox",2024-05-17 05:10:14,2024-05-17 05:10:00,"Round 06"
"101","StationA",6H 15M 34S,2024-05-17,"Bengal Fox",2024-05-17 06:15:34,2024-05-17 06:16:00,"Round 06"
"102","StationA",6H 15M 50S,2024-05-17,"Bengal Fox",2024-05-17 06:15:50,2024-05-17 06:16:00,"Round 06"
"103","StationA",6H 16M 25S,2024-05-17,"Bengal Fox",2024-05-17 06:16:25,2024-05-17 06:16:00,"Round 06"
"104","StationA",6H 16M 37S,2024-05-17,"Bengal Fox",2024-05-17 06:16:37,2024-05-17 06:17:00,"Round 06"
"105","StationA",7H 18M 39S,2024-05-17,"Bengal Fox",2024-05-17 07:18:39,2024-05-17 07:19:00,"Round 06"
"106","StationA",7H 25M 9S,2024-05-17,"Bengal Fox",2024-05-17 07:25:09,2024-05-17 07:25:00,"Round 06"
"107","StationA",7H 25M 9S,2024-05-17,"Bengal Monitor",2024-05-17 07:25:09,2024-05-17 07:25:00,"Round 06"
"108","StationA",7H 25M 9S,2024-05-17,"Bengal Fox",2024-05-17 07:25:09,2024-05-17 07:25:00,"Round 06"
"109","StationA",7H 25M 9S,2024-05-17,"Bengal Monitor",2024-05-17 07:25:09,2024-05-17 07:25:00,"Round 06"
"110","StationA",16H 54M 21S,2024-05-17,"Bengal Fox",2024-05-17 16:54:21,2024-05-17 16:54:00,"Round 06"
"111","StationA",16H 54M 21S,2024-05-17,"Bengal Monitor",2024-05-17 16:54:21,2024-05-17 16:54:00,"Round 06"
"112","StationA",16H 54M 21S,2024-05-17,"Bengal Fox",2024-05-17 16:54:21,2024-05-17 16:54:00,"Round 06"
"113","StationA",16H 54M 21S,2024-05-17,"Bengal Monitor",2024-05-17 16:54:21,2024-05-17 16:54:00,"Round 06"
"114","StationA",19H 18M 1S,2024-05-17,"Bengal Fox",2024-05-17 19:18:01,2024-05-17 19:18:00,"Round 06"
"115","StationA",21H 18M 55S,2024-05-17,"Bengal Fox",2024-05-17 21:18:55,2024-05-17 21:19:00,"Round 06"
"116","StationA",19H 12M 28S,2024-05-18,"Bengal Fox",2024-05-18 19:12:28,2024-05-18 19:12:00,"Round 06"
"117","StationA",12M 23S,2024-05-19,"Bengal Fox",2024-05-19 00:12:23,2024-05-19 00:12:00,"Round 06"
"118","StationA",18M 2S,2024-05-19,"Bengal Fox",2024-05-19 00:18:02,2024-05-19 00:18:00,"Round 06"
"119","StationA",18H 12M 32S,2024-05-09,"Bengal Fox",2024-05-09 18:12:32,2024-05-09 18:13:00,"Round 05"
"120","StationA",18H 14M 1S,2024-05-09,"Bengal Fox",2024-05-09 18:14:01,2024-05-09 18:14:00,"Round 05"
"121","StationA",18H 27M 49S,2024-05-09,"Bengal Fox",2024-05-09 18:27:49,2024-05-09 18:28:00,"Round 05"
"122","StationA",18H 29M 24S,2024-05-09,"Bengal Fox",2024-05-09 18:29:24,2024-05-09 18:29:00,"Round 05"
"123","StationA",18H 29M 36S,2024-05-09,"Bengal Fox",2024-05-09 18:29:36,2024-05-09 18:30:00,"Round 05"
"124","StationA",18H 29M 50S,2024-05-09,"Bengal Fox",2024-05-09 18:29:50,2024-05-09 18:30:00,"Round 05"
"125","StationA",19H 22M 52S,2024-05-09,"Bengal Fox",2024-05-09 19:22:52,2024-05-09 19:23:00,"Round 05"
"126","StationA",11M 15S,2024-05-10,"Bengal Fox",2024-05-10 00:11:15,2024-05-10 00:11:00,"Round 05"
"127","StationA",2H 45M 45S,2024-05-10,"Bengal Fox",2024-05-10 02:45:45,2024-05-10 02:46:00,"Round 05"
"128","StationA",3H 21M 58S,2024-05-10,"Bengal Fox",2024-05-10 03:21:58,2024-05-10 03:22:00,"Round 05"
"129","StationA",3H 37M 2S,2024-05-10,"Bengal Fox",2024-05-10 03:37:02,2024-05-10 03:37:00,"Round 05"
"130","StationA",4H 1M 26S,2024-05-10,"Bengal Fox",2024-05-10 04:01:26,2024-05-10 04:01:00,"Round 05"
"131","StationA",4H 33M 30S,2024-05-10,"Bengal Fox",2024-05-10 04:33:30,2024-05-10 04:34:00,"Round 05"
"132","StationA",4H 41M 28S,2024-05-10,"Bengal Fox",2024-05-10 04:41:28,2024-05-10 04:41:00,"Round 05"
"133","StationA",18H 5M 36S,2024-03-08,"Bengal Fox",2024-03-08 18:05:36,2024-03-08 18:06:00,"Round 01"
"134","StationA",18H 6M 4S,2024-03-08,"Bengal Fox",2024-03-08 18:06:04,2024-03-08 18:06:00,"Round 01"
"135","StationA",18H 6M 32S,2024-03-08,"Bengal Fox",2024-03-08 18:06:32,2024-03-08 18:07:00,"Round 01"
"136","StationA",18H 6M 59S,2024-03-08,"Bengal Fox",2024-03-08 18:06:59,2024-03-08 18:07:00,"Round 01"
"137","StationA",18H 7M 2S,2024-03-08,"Bengal Fox",2024-03-08 18:07:02,2024-03-08 18:07:00,"Round 01"
"138","StationA",18H 7M 55S,2024-03-08,"Bengal Fox",2024-03-08 18:07:55,2024-03-08 18:08:00,"Round 01"
"139","StationA",18H 8M 23S,2024-03-08,"Bengal Fox",2024-03-08 18:08:23,2024-03-08 18:08:00,"Round 01"
"140","StationA",18H 8M 51S,2024-03-08,"Bengal Fox",2024-03-08 18:08:51,2024-03-08 18:09:00,"Round 01"
"141","StationA",18H 9M 19S,2024-03-08,"Bengal Fox",2024-03-08 18:09:19,2024-03-08 18:09:00,"Round 01"
"142","StationA",18H 9M 47S,2024-03-08,"Bengal Fox",2024-03-08 18:09:47,2024-03-08 18:10:00,"Round 01"
"143","StationA",18H 10M 14S,2024-03-08,"Bengal Fox",2024-03-08 18:10:14,2024-03-08 18:10:00,"Round 01"
"144","StationA",18H 10M 42S,2024-03-08,"Bengal Fox",2024-03-08 18:10:42,2024-03-08 18:11:00,"Round 01"
"145","StationA",18H 11M 10S,2024-03-08,"Bengal Fox",2024-03-08 18:11:10,2024-03-08 18:11:00,"Round 01"
"146","StationA",18H 11M 38S,2024-03-08,"Bengal Fox",2024-03-08 18:11:38,2024-03-08 18:12:00,"Round 01"
"147","StationA",18H 12M 6S,2024-03-08,"Bengal Fox",2024-03-08 18:12:06,2024-03-08 18:12:00,"Round 01"
"148","StationA",18H 12M 34S,2024-03-08,"Bengal Fox",2024-03-08 18:12:34,2024-03-08 18:13:00,"Round 01"
"149","StationA",18H 13M 1S,2024-03-08,"Bengal Fox",2024-03-08 18:13:01,2024-03-08 18:13:00,"Round 01"
"150","StationA",18H 13M 29S,2024-03-08,"Bengal Fox",2024-03-08 18:13:29,2024-03-08 18:13:00,"Round 01"
"151","StationA",18H 13M 57S,2024-03-08,"Bengal Fox",2024-03-08 18:13:57,2024-03-08 18:14:00,"Round 01"
"152","StationA",18H 14M 25S,2024-03-08,"Bengal Fox",2024-03-08 18:14:25,2024-03-08 18:14:00,"Round 01"
"153","StationA",18H 14M 53S,2024-03-08,"Bengal Fox",2024-03-08 18:14:53,2024-03-08 18:15:00,"Round 01"
"154","StationA",18H 15M 21S,2024-03-08,"Bengal Fox",2024-03-08 18:15:21,2024-03-08 18:15:00,"Round 01"
"155","StationA",18H 15M 49S,2024-03-08,"Bengal Fox",2024-03-08 18:15:49,2024-03-08 18:16:00,"Round 01"
"156","StationA",18H 16M 16S,2024-03-08,"Bengal Fox",2024-03-08 18:16:16,2024-03-08 18:16:00,"Round 01"
"157","StationA",18H 16M 44S,2024-03-08,"Bengal Fox",2024-03-08 18:16:44,2024-03-08 18:17:00,"Round 01"
"158","StationA",18H 17M 40S,2024-03-08,"Bengal Fox",2024-03-08 18:17:40,2024-03-08 18:18:00,"Round 01"
"159","StationA",18H 18M 8S,2024-03-08,"Bengal Fox",2024-03-08 18:18:08,2024-03-08 18:18:00,"Round 01"
"160","StationA",18H 18M 36S,2024-03-08,"Bengal Fox",2024-03-08 18:18:36,2024-03-08 18:19:00,"Round 01"
"161","StationA",18H 19M 4S,2024-03-08,"Bengal Fox",2024-03-08 18:19:04,2024-03-08 18:19:00,"Round 01"
"162","StationA",18H 19M 32S,2024-03-08,"Bengal Fox",2024-03-08 18:19:32,2024-03-08 18:20:00,"Round 01"
"163","StationA",18H 20M 0S,2024-03-08,"Bengal Fox",2024-03-08 18:20:00,2024-03-08 18:20:00,"Round 01"
"164","StationA",18H 20M 28S,2024-03-08,"Bengal Fox",2024-03-08 18:20:28,2024-03-08 18:20:00,"Round 01"
"165","StationA",18H 20M 56S,2024-03-08,"Bengal Fox",2024-03-08 18:20:56,2024-03-08 18:21:00,"Round 01"
"166","StationA",18H 21M 24S,2024-03-08,"Bengal Fox",2024-03-08 18:21:24,2024-03-08 18:21:00,"Round 01"
"167","StationA",18H 21M 51S,2024-03-08,"Bengal Fox",2024-03-08 18:21:51,2024-03-08 18:22:00,"Round 01"
"168","StationA",18H 22M 19S,2024-03-08,"Bengal Fox",2024-03-08 18:22:19,2024-03-08 18:22:00,"Round 01"
"169","StationA",18H 22M 47S,2024-03-08,"Bengal Fox",2024-03-08 18:22:47,2024-03-08 18:23:00,"Round 01"
"170","StationA",18H 23M 15S,2024-03-08,"Bengal Fox",2024-03-08 18:23:15,2024-03-08 18:23:00,"Round 01"
"171","StationA",18H 23M 43S,2024-03-08,"Bengal Fox",2024-03-08 18:23:43,2024-03-08 18:24:00,"Round 01"
"172","StationA",18H 24M 11S,2024-03-08,"Bengal Fox",2024-03-08 18:24:11,2024-03-08 18:24:00,"Round 01"
"173","StationA",18H 24M 39S,2024-03-08,"Bengal Fox",2024-03-08 18:24:39,2024-03-08 18:25:00,"Round 01"
"174","StationA",18H 25M 7S,2024-03-08,"Bengal Fox",2024-03-08 18:25:07,2024-03-08 18:25:00,"Round 01"
"175","StationA",18H 25M 34S,2024-03-08,"Bengal Fox",2024-03-08 18:25:34,2024-03-08 18:26:00,"Round 01"
"176","StationA",18H 26M 2S,2024-03-08,"Bengal Fox",2024-03-08 18:26:02,2024-03-08 18:26:00,"Round 01"
"177","StationA",18H 26M 30S,2024-03-08,"Bengal Fox",2024-03-08 18:26:30,2024-03-08 18:27:00,"Round 01"
"178","StationA",18H 26M 58S,2024-03-08,"Bengal Fox",2024-03-08 18:26:58,2024-03-08 18:27:00,"Round 01"
"179","StationA",18H 27M 26S,2024-03-08,"Bengal Fox",2024-03-08 18:27:26,2024-03-08 18:27:00,"Round 01"
"180","StationA",18H 27M 54S,2024-03-08,"Bengal Fox",2024-03-08 18:27:54,2024-03-08 18:28:00,"Round 01"
"181","StationA",18H 28M 22S,2024-03-08,"Bengal Fox",2024-03-08 18:28:22,2024-03-08 18:28:00,"Round 01"
"182","StationA",18H 28M 50S,2024-03-08,"Bengal Fox",2024-03-08 18:28:50,2024-03-08 18:29:00,"Round 01"
"183","StationA",18H 29M 18S,2024-03-08,"Bengal Fox",2024-03-08 18:29:18,2024-03-08 18:29:00,"Round 01"
"184","StationA",18H 29M 46S,2024-03-08,"Bengal Fox",2024-03-08 18:29:46,2024-03-08 18:30:00,"Round 01"
"185","StationA",18H 30M 13S,2024-03-08,"Bengal Fox",2024-03-08 18:30:13,2024-03-08 18:30:00,"Round 01"
"186","StationA",18H 30M 41S,2024-03-08,"Bengal Fox",2024-03-08 18:30:41,2024-03-08 18:31:00,"Round 01"
"187","StationA",18H 31M 9S,2024-03-08,"Bengal Fox",2024-03-08 18:31:09,2024-03-08 18:31:00,"Round 01"
"188","StationA",18H 31M 36S,2024-03-08,"Bengal Fox",2024-03-08 18:31:36,2024-03-08 18:32:00,"Round 01"
"189","StationA",18H 32M 4S,2024-03-08,"Bengal Fox",2024-03-08 18:32:04,2024-03-08 18:32:00,"Round 01"
"190","StationA",18H 32M 32S,2024-03-08,"Bengal Fox",2024-03-08 18:32:32,2024-03-08 18:33:00,"Round 01"
"191","StationA",18H 32M 59S,2024-03-08,"Bengal Fox",2024-03-08 18:32:59,2024-03-08 18:33:00,"Round 01"
"192","StationA",18H 33M 27S,2024-03-08,"Bengal Fox",2024-03-08 18:33:27,2024-03-08 18:33:00,"Round 01"
"193","StationA",18H 33M 55S,2024-03-08,"Bengal Fox",2024-03-08 18:33:55,2024-03-08 18:34:00,"Round 01"
"194","StationA",18H 34M 23S,2024-03-08,"Bengal Fox",2024-03-08 18:34:23,2024-03-08 18:34:00,"Round 01"
"195","StationA",18H 34M 50S,2024-03-08,"Bengal Fox",2024-03-08 18:34:50,2024-03-08 18:35:00,"Round 01"
"196","StationA",18H 35M 17S,2024-03-08,"Bengal Fox",2024-03-08 18:35:17,2024-03-08 18:35:00,"Round 01"
"197","StationA",18H 35M 45S,2024-03-08,"Bengal Fox",2024-03-08 18:35:45,2024-03-08 18:36:00,"Round 01"
"198","StationA",18H 36M 13S,2024-03-08,"Bengal Fox",2024-03-08 18:36:13,2024-03-08 18:36:00,"Round 01"
"199","StationA",18H 36M 40S,2024-03-08,"Bengal Fox",2024-03-08 18:36:40,2024-03-08 18:37:00,"Round 01"
"200","StationA",18H 37M 35S,2024-03-08,"Bengal Fox",2024-03-08 18:37:35,2024-03-08 18:38:00,"Round 01"
"201","StationA",18H 38M 2S,2024-03-08,"Bengal Fox",2024-03-08 18:38:02,2024-03-08 18:38:00,"Round 01"
"202","StationA",18H 38M 30S,2024-03-08,"Bengal Fox",2024-03-08 18:38:30,2024-03-08 18:39:00,"Round 01"
"203","StationA",18H 38M 58S,2024-03-08,"Bengal Fox",2024-03-08 18:38:58,2024-03-08 18:39:00,"Round 01"
"204","StationA",18H 39M 25S,2024-03-08,"Bengal Fox",2024-03-08 18:39:25,2024-03-08 18:39:00,"Round 01"
"205","StationA",18H 39M 52S,2024-03-08,"Bengal Fox",2024-03-08 18:39:52,2024-03-08 18:40:00,"Round 01"
"206","StationA",18H 40M 19S,2024-03-08,"Bengal Fox",2024-03-08 18:40:19,2024-03-08 18:40:00,"Round 01"
"207","StationA",18H 40M 47S,2024-03-08,"Bengal Fox",2024-03-08 18:40:47,2024-03-08 18:41:00,"Round 01"
"208","StationA",18H 41M 14S,2024-03-08,"Bengal Fox",2024-03-08 18:41:14,2024-03-08 18:41:00,"Round 01"
"209","StationA",18H 41M 41S,2024-03-08,"Bengal Fox",2024-03-08 18:41:41,2024-03-08 18:42:00,"Round 01"
"210","StationA",18H 42M 8S,2024-03-08,"Bengal Fox",2024-03-08 18:42:08,2024-03-08 18:42:00,"Round 01"
"211","StationA",18H 42M 35S,2024-03-08,"Bengal Fox",2024-03-08 18:42:35,2024-03-08 18:43:00,"Round 01"
"212","StationA",18H 43M 29S,2024-03-08,"Bengal Fox",2024-03-08 18:43:29,2024-03-08 18:43:00,"Round 01"
"213","StationA",18H 43M 57S,2024-03-08,"Bengal Fox",2024-03-08 18:43:57,2024-03-08 18:44:00,"Round 01"
"214","StationA",18H 44M 25S,2024-03-08,"Bengal Fox",2024-03-08 18:44:25,2024-03-08 18:44:00,"Round 01"
